bcaa,5,360,100,0,0

Oatmeal,65,340,12,6,60
sunfl_oil,10,898,0,100,0
varenje,20,265,0,0,76
cheese5pc,70,121,16,5,3

apple,200,52,0.3,0.2,14

naliv_bread,150,220,5.5,1,46
pasta_bl,67,330,11,1.5,69
sunfl_oil,10,898,0,100,0
chicken_fillet,120,110,21,3,0
chocol_almond,40,562,7.3,36,51
carrot,120,41,0.1,0.2,10


bcaa,5,360,100,0,0
maltodextr,15,372,0,0,93

red_lentil,20,360,25,2,60
rice,63,330,6.5,0.5,75
beta,150,50,1.5,0.1,9
naliv_bread,60,220,5.5,1,46
cheese5pc,100,121,16,5,3
